Arduino:Uno Pin:A0 Freq:250 Threshold:5 Resistor:1000 VoltageIn:5
Time Voltage1 Voltage2_AR_Value Voltage2_Calc Resistance_Calc
1439779595099 5 901 4.403714565004887 7385.245901639339
1439779605923 5 932 4.5552297165200395 10241.758241758253
1439779606175 5 950 4.643206256109482 13013.698630137
1439779606426 5 960 4.69208211143695 15238.095238095251
1439779606675 5 969 4.736070381231672 17944.44444444446
1439779606927 5 954 4.6627565982404695 13826.086956521753
1439779607180 5 931 4.550342130987293 10119.565217391315
1439779607430 5 904 4.418377321603128 7596.6386554621795
1439779610444 5 902 4.408602150537634 7454.545454545449
1439779635326 5 938 4.58455522971652 11035.29411764707
1439779635576 5 955 4.667644183773216 14044.117647058836
1439779635827 5 962 4.701857282502444 15770.491803278703
1439779636077 5 953 4.657869012707723 13614.285714285726
1439779636330 5 967 4.726295210166178 17267.85714285716
1439779636581 5 977 4.775171065493646 21239.130434782626
1439779638339 5 942 4.604105571847508 11629.62962962964
1439779638592 5 919 4.49169110459433 8836.538461538452
1439779638842 5 922 4.506353861192571 9128.712871287138
1439779639093 5 921 4.501466275659824 9029.411764705874
1439779639343 5 939 4.589442815249267 11178.57142857144
1439779639593 5 960 4.69208211143695 15238.095238095251
1439779639845 5 973 4.755620723362659 19460.00000000002
1439779640350 5 974 4.760508308895406 19877.551020408184
1439779640853 5 970 4.740957966764419 18301.886792452846
1439779642361 5 975 4.765395894428153 20312.500000000022
1439779643363 5 916 4.4770283479960895 8560.747663551394
1439779643616 5 905 4.4232649071358745 7669.491525423723
1439779644372 5 902 4.408602150537634 7454.545454545449
1439779690632 5 926 4.525904203323559 9546.391752577329
1439779691641 5 902 4.408602150537634 7454.545454545449
1439779697426 5 877 4.286412512218964 6006.849315068491
1439779697679 5 828 4.0469208211143695 4246.153846153846
1439779697929 5 702 3.43108504398827 2186.9158878504672
1439779698182 5 452 2.209188660801564 791.5936952714535
1439779698433 5 301 1.4711632453567938 416.8975069252078
1439779698684 5 178 0.8699902248289345 210.6508875739645
1439779698936 5 145 0.7086999022482894 165.1480637813212
1439779699187 5 122 0.5962854349951124 135.40510543840182
1439779699442 5 120 0.5865102639296188 132.89036544850498
1439779699692 5 105 0.5131964809384164 114.37908496732025
1439779699944 5 107 0.52297165200391 116.81222707423582
1439779700194 5 100 0.4887585532746823 108.3423618634886
1439779700447 5 96 0.46920821114369504 103.5598705501618
1439779701704 5 123 0.6011730205278593 136.66666666666669
1439779701956 5 150 0.7331378299120235 171.8213058419244
1439779702208 5 225 1.099706744868035 281.95488721804503
1439779702459 5 226 1.104594330400782 283.5633626097867
1439779702709 5 225 1.099706744868035 281.95488721804503
1439779702960 5 281 1.3734115347018572 378.70619946091637
1439779703212 5 217 1.0606060606060606 269.2307692307692
1439779703465 5 243 1.187683284457478 311.53846153846155
1439779703715 5 422 2.0625610948191593 702.1630615640598
1439779703966 5 528 2.5806451612903225 1066.6666666666665
1439779704218 5 292 1.4271749755620724 399.45280437756503
1439779704470 5 147 0.718475073313783 167.8082191780822
1439779704721 5 102 0.49853372434017595 110.74918566775244
1439779705224 5 112 0.5474095796676441 122.94182217343577
1439779705477 5 87 0.4252199413489736 92.94871794871794
1439779705729 5 131 0.6402737047898338 146.86098654708522
1439779705980 5 103 0.5034213098729228 111.95652173913045
1439779706230 5 117 0.5718475073313783 129.13907284768214
1439779706481 5 88 0.43010752688172044 94.11764705882352
1439779706732 5 129 0.6304985337243402 144.29530201342283
1439779707234 5 115 0.5620723362658846 126.65198237885463
1439779707486 5 163 0.7966764418377321 189.53488372093022
1439779707736 5 89 0.43499511241446726 95.28907922912205
1439779707987 5 156 0.7624633431085044 179.9307958477509
1439779708240 5 102 0.49853372434017595 110.74918566775244
1439779708492 5 85 0.41544477028348 90.61833688699359
1439779708743 5 120 0.5865102639296188 132.89036544850498
1439779708995 5 111 0.5425219941348973 121.71052631578948
1439779709500 5 99 0.4838709677419355 107.14285714285715
1439779709751 5 165 0.8064516129032258 192.3076923076923
1439779710257 5 252 1.2316715542521994 326.84824902723733
1439779710508 5 196 0.9579667644183774 237.00120918984283
1439779710760 5 250 1.2218963831867058 323.41526520051747
1439779711013 5 238 1.163245356793744 303.18471337579615
1439779711264 5 174 0.8504398826979472 204.9469964664311
1439779711767 5 658 3.2160312805474094 1802.739726027397
1439779712022 5 367 1.793743890518084 559.4512195121952
1439779712272 5 52 0.2541544477028348 53.55303810504634
1439779712523 5 42 0.20527859237536658 42.813455657492355
1439779712776 5 35 0.1710654936461388 35.425101214574894
1439779713527 5 53 0.2590420332355816 54.63917525773196
1439779713781 5 80 0.39100684261974583 84.8356309650053
1439779714034 5 39 0.1906158357771261 39.63414634146341
1439779714536 5 63 0.30791788856304986 65.625
1439779714789 5 36 0.17595307917888564 36.474164133738604
1439779715292 5 34 0.16617790811339198 34.37815975733063
1439779715545 5 35 0.1710654936461388 35.425101214574894
1439779715795 5 46 0.22482893450635386 47.082906857727735
1439779716045 5 256 1.2512218963831867 333.76792698826597
1439779716298 5 640 3.1280547409579667 1671.018276762402
1439779716551 5 863 4.217986314760508 5393.749999999999
1439779716803 5 899 4.393939393939394 7249.999999999995
1439779717054 5 902 4.408602150537634 7454.545454545449
1439779717808 5 906 4.428152492668621 7743.589743589739
1439779805049 5 939 4.589442815249267 11178.57142857144
1439779805805 5 908 4.437927663734115 7895.6521739130385
1439779807564 5 903 4.413489736070381 7524.9999999999945
